"response_id","response","condition","scenario","response_number"
"R_3onnhStfWvSx3rG","Sell an asset",2,1,1
"R_3onnhStfWvSx3rG","Take a loan",2,1,2
"R_3onnhStfWvSx3rG","Look for generic",2,1,3
"R_3onnhStfWvSx3rG","Do nothing",2,1,4
"R_3onnhStfWvSx3rG","Steal",2,1,5
"R_3onnhStfWvSx3rG","Call taxi",2,2,1
"R_3onnhStfWvSx3rG","Call uber",2,2,2
"R_3onnhStfWvSx3rG","Call friend",2,2,3
"R_3onnhStfWvSx3rG","Call family",2,2,4
"R_3onnhStfWvSx3rG","Miss flight",2,2,5
"R_3onnhStfWvSx3rG","Call firefighters",2,6,1
"R_3onnhStfWvSx3rG","Do nothing",2,6,2
"R_3onnhStfWvSx3rG","Try to see if any door is unlocked and if so open and roll windows down",2,6,3
"R_3onnhStfWvSx3rG","If she knows the car owner go and get them",2,6,4
"R_3onnhStfWvSx3rG","Break window.",2,6,5
"R_5QAPkrHYGtvwLut","Go back to get the tickets and see the last part of the concert",2,3,1
"R_5QAPkrHYGtvwLut","See the concert without Ted",2,3,2
"R_5QAPkrHYGtvwLut","Give her ticket to Ted and miss the concert herself",2,3,3
"R_5QAPkrHYGtvwLut","Drive home and have both of them miss the concert",2,3,4
"R_5QAPkrHYGtvwLut","See if there was a receipt or online proof of buying the ticket that can be used instead",2,3,5
"R_5QAPkrHYGtvwLut","Stay behind the driver but far enough back",2,4,1
"R_5QAPkrHYGtvwLut","Pass the driver",2,4,2
"R_5QAPkrHYGtvwLut","Call the police and report the license plate",2,4,3
"R_5QAPkrHYGtvwLut","Take a new route",2,4,4
"R_5QAPkrHYGtvwLut","Honk at the person",2,4,5
"R_5QAPkrHYGtvwLut","Call the court office and let them know beforehand his situation and that he'll be late",2,9,1
"R_5QAPkrHYGtvwLut","Call in a coworker to cover until the boss shows up",2,9,2
"R_5QAPkrHYGtvwLut","Continue calling the boss and even leaving a voicemail or text explaining the situation and continue to wait for a response",2,9,3
"R_5QAPkrHYGtvwLut","Close/Lock up the store and leave after leaving the voicemail or text to the boss",2,9,4
"R_5QAPkrHYGtvwLut","Cancel the court appointment if possible",2,9,5
"R_3DbYYjPSDcTWv9O","See if he can buy one",2,3,1
"R_3DbYYjPSDcTWv9O","Sneak him in",2,3,2
"R_3DbYYjPSDcTWv9O","Miss the concert with him",2,3,3
"R_3DbYYjPSDcTWv9O","Go into the concert without him",2,3,4
"R_3DbYYjPSDcTWv9O","Ask around fot an extra ticket",2,3,5
"R_3DbYYjPSDcTWv9O","Break the window",2,6,1
"R_3DbYYjPSDcTWv9O","Call the police",2,6,2
"R_3DbYYjPSDcTWv9O","Find the owner",2,6,3
"R_3DbYYjPSDcTWv9O","Call 911",2,6,4
"R_3DbYYjPSDcTWv9O","Go and tell security ",2,6,5
"R_3DbYYjPSDcTWv9O","Call the taxi company",2,8,1
"R_3DbYYjPSDcTWv9O","Go find the taxi",2,8,2
"R_3DbYYjPSDcTWv9O","Go buy a new ring",2,8,3
"R_3DbYYjPSDcTWv9O","Tell the groom",2,8,4
"R_3DbYYjPSDcTWv9O","Cry",2,8,5
"R_5I3kqgv2emazTa1","Message someone to help him stay calm",1,2,1
"R_5I3kqgv2emazTa1","Reach out to a taxi company",1,2,2
"R_5I3kqgv2emazTa1","Ask a friend to give him a lift",1,2,3
"R_5I3kqgv2emazTa1","Try using public transport to get there",1,2,4
"R_5I3kqgv2emazTa1","Web Check-in for his flight",1,2,5
"R_5I3kqgv2emazTa1","Throw it away",1,7,1
"R_5I3kqgv2emazTa1","Return home and catch an alternative flight",1,7,2
"R_5I3kqgv2emazTa1","Try to go back to the desk and have the knife put in a check-in bag",1,7,3
"R_5I3kqgv2emazTa1","Book an additional check-in bag and put the knife in it",1,7,4
"R_5I3kqgv2emazTa1","Give it someone in TSA for safekeeping",1,7,5
"R_5I3kqgv2emazTa1","Inform someone about the incident (not the bride or the groom)",1,8,1
"R_5I3kqgv2emazTa1","Locate the taxi driver using app he booked it with",1,8,2
"R_5I3kqgv2emazTa1","Reach to the company's helpline",1,8,3
"R_5I3kqgv2emazTa1","Try to remember the plate number",1,8,4
"R_5I3kqgv2emazTa1","Make sure this does not reach the bride or the groom",1,8,5
"R_66gvtEzsDayFAGr","Give her a ride as far as he is going. ",2,5,1
"R_66gvtEzsDayFAGr","Refuse to give her a ride. ",2,5,2
"R_66gvtEzsDayFAGr","Let her use his phone to call someone else. ",2,5,3
"R_66gvtEzsDayFAGr","Give her money to help her get a taxi or something. ",2,5,4
"R_66gvtEzsDayFAGr","Report her to the store manager. ",2,5,5
"R_66gvtEzsDayFAGr","Call someone to come and get the knife. ",2,7,1
"R_66gvtEzsDayFAGr","Put the knife in the trash before going through baggage checks.",2,7,2
"R_66gvtEzsDayFAGr","Try to hide the knife in his bags. ",2,7,3
"R_66gvtEzsDayFAGr","Give the knife to security before they find it. ",2,7,4
"R_66gvtEzsDayFAGr","Hide the knife in the airport somewhere and get it when he comes back. ",2,7,5
"R_66gvtEzsDayFAGr","Call the taxi service. ",2,8,1
"R_66gvtEzsDayFAGr","Stall the wedding. ",2,8,2
"R_66gvtEzsDayFAGr","Ask them to get married without rings. ",2,8,3
"R_66gvtEzsDayFAGr","Run away and let them deal with it. ",2,8,4
"R_66gvtEzsDayFAGr","Blame someone else. ",2,8,5
"R_110rMptMSqCu4MO","Call a cab",2,2,1
"R_110rMptMSqCu4MO","Call an Uber",2,2,2
"R_110rMptMSqCu4MO","Try to book a later flight",2,2,3
"R_110rMptMSqCu4MO","Cancel his trip",2,2,4
"R_110rMptMSqCu4MO","Hitchhike to the airport",2,2,5
"R_110rMptMSqCu4MO","Give her a ride",2,5,1
"R_110rMptMSqCu4MO","Not give her a ride",2,5,2
"R_110rMptMSqCu4MO","Direct her to the nearest bus",2,5,3
"R_110rMptMSqCu4MO","Give her the phone number for an Uber",2,5,4
"R_110rMptMSqCu4MO","Give her the phone number for a taxi",2,5,5
"R_110rMptMSqCu4MO","Keep trying to reach his boss",2,9,1
"R_110rMptMSqCu4MO","Try to reach another employee",2,9,2
"R_110rMptMSqCu4MO","Close the store",2,9,3
"R_110rMptMSqCu4MO","Miss his appointment",2,9,4
"R_110rMptMSqCu4MO","Cry",2,9,5
"R_1QDCLxUFcI9nrsz","Assess the Situation and Trust His Instincts",1,5,1
"R_1QDCLxUFcI9nrsz","Ask for More Information",1,5,2
"R_1QDCLxUFcI9nrsz","Offer to Help in a Different Way",1,5,3
"R_1QDCLxUFcI9nrsz","Consider Her Appearance and Behavior",1,5,4
"R_1QDCLxUFcI9nrsz","Set Boundaries and Be Clear About His Decision",1,5,5
"R_1QDCLxUFcI9nrsz","Assess the Situation",1,6,1
"R_1QDCLxUFcI9nrsz"," Look for the Owner",1,6,2
"R_1QDCLxUFcI9nrsz","Call Animal Control or the Non-Emergency Police Line",1,6,3
"R_1QDCLxUFcI9nrsz","Take Note of the Car’s Details",1,6,4
"R_1QDCLxUFcI9nrsz","Try to keep the dog calm",1,6,5
"R_1QDCLxUFcI9nrsz","Jeff should try reaching out to his boss again, perhaps leaving a polite voicemail or text explaining the urgency of the situation and requesting an immediate response. ",1,9,1
"R_1QDCLxUFcI9nrsz","If Jeff knows of any other employees who might be able to cover the shift or help out, he should reach out to them. Even if it’s not someone normally scheduled, they might be available to come in on short notice",1,9,2
"R_1QDCLxUFcI9nrsz","Jeff should check the store's schedule or any communication (e.g., text group, email, or physical notice) to see if there’s been any change in the schedule or if someone else was assigned to cover for his boss.",1,9,3
"R_1QDCLxUFcI9nrsz","If Jeff can't get in touch with his boss and no one else can come in, he may need to start preparing to close the store temporarily (if possible) in order to make it to his court appointment on time",1,9,4
"R_1QDCLxUFcI9nrsz","If Jeff has to leave the store temporarily, he should post a sign or make a brief announcement to let any customers know that the store will be closing or briefly unavailable due to an emergency or unavoidable situation. ",1,9,5
"R_57Qn25xpVJM8QUN","Call the company that produces the meds for coupons or reduced rates",2,1,1
"R_57Qn25xpVJM8QUN","Ask friends and family",2,1,2
"R_57Qn25xpVJM8QUN","Take on a second job",2,1,3
"R_57Qn25xpVJM8QUN","Ask the insurance company to reassess",2,1,4
"R_57Qn25xpVJM8QUN","Ask the doctor for other medications that would be as effective",2,1,5
"R_57Qn25xpVJM8QUN","Stay back",2,4,1
"R_57Qn25xpVJM8QUN","Call the non-emergency police line",2,4,2
"R_57Qn25xpVJM8QUN","Call the emergency line",2,4,3
"R_57Qn25xpVJM8QUN","Record the other driver for police",2,4,4
"R_57Qn25xpVJM8QUN","Try to get the driver to pull over",2,4,5
"R_57Qn25xpVJM8QUN","Tell the workers before they find it",2,7,1
"R_57Qn25xpVJM8QUN","brandish it",2,7,2
"R_57Qn25xpVJM8QUN","throw it in the trash",2,7,3
"R_57Qn25xpVJM8QUN","claim it's not his",2,7,4
"R_57Qn25xpVJM8QUN","take responsibility and explain",2,7,5
"R_7HGk7UW6XVk8PmB","appeal the decision of the insurance company",1,1,1
"R_7HGk7UW6XVk8PmB","set up a payment plan to pay for the medication",1,1,2
"R_7HGk7UW6XVk8PmB","see if the doctor can prescribe a different medication that will work",1,1,3
"R_7HGk7UW6XVk8PmB","Maybe Heinz could work more hours to pay for the medication",1,1,4
"R_7HGk7UW6XVk8PmB","Research alternative treatments",1,1,5
"R_7HGk7UW6XVk8PmB","go to the concert and let ted go home and get his ticket",1,3,1
"R_7HGk7UW6XVk8PmB","they all go with ted to get his ticket",1,3,2
"R_7HGk7UW6XVk8PmB","they could all skip the concert",1,3,3
"R_7HGk7UW6XVk8PmB","ted could just go home and forget it",1,3,4
"R_7HGk7UW6XVk8PmB","maybe tell could have someone bring his ticket to save time",1,3,5
"R_7HGk7UW6XVk8PmB","Call the police",1,4,1
"R_7HGk7UW6XVk8PmB","try to pass him",1,4,2
"R_7HGk7UW6XVk8PmB","go a different way",1,4,3
"R_7HGk7UW6XVk8PmB","honk his horn to try to get him to pull over",1,4,4
"R_7HGk7UW6XVk8PmB","stay behind him and avoid a dangerous situation",1,4,5
"R_7d1d18cbc3kH9qi","Steal the medication",1,1,1
"R_7d1d18cbc3kH9qi","GoFundMe",1,1,2
"R_7d1d18cbc3kH9qi","Take a second job/work overtime to make more money",1,1,3
"R_7d1d18cbc3kH9qi","Ask family or friends",1,1,4
"R_7d1d18cbc3kH9qi","Wait it out",1,1,5
"R_7d1d18cbc3kH9qi","Drive her as far as your house",1,5,1
"R_7d1d18cbc3kH9qi","Drive her to the nearest public transport",1,5,2
"R_7d1d18cbc3kH9qi","Drive her to her location",1,5,3
"R_7d1d18cbc3kH9qi","Drive her as far as your house, but ask for money to drive all the way",1,5,4
"R_7d1d18cbc3kH9qi","Say no",1,5,5
"R_7d1d18cbc3kH9qi","Lock up the store and leave",1,9,1
"R_7d1d18cbc3kH9qi","Call some other employee to take over",1,9,2
"R_7d1d18cbc3kH9qi","Leave a note for his boss",1,9,3
"R_7d1d18cbc3kH9qi","Wait it out",1,9,4
"R_7d1d18cbc3kH9qi","Ditch the court appointment",1,9,5
"R_3Ea8aK90rB1mdue","Make up an excuse",1,5,1
"R_3Ea8aK90rB1mdue","Claim he's going the opposite direction",1,5,2
"R_3Ea8aK90rB1mdue","Give the woman a ride",1,5,3
"R_3Ea8aK90rB1mdue","Take the woman to a bus stop/station",1,5,4
"R_3Ea8aK90rB1mdue","Decline the woman's request",1,5,5
