response_id,scenario,response_number,response,embedding,type,p_dist_cosine,m_dist_cosine,cluster_kmeans,cluster_kmeans_centroid_dist,cluster_kmeans_label
0,1,,Heinz decides to search for the medication on the black market.,"[ 0.00526036  0.02007917 -0.0094061  ... -0.00861223 -0.00284669
 -0.01138675]",action,4.440892098500626e-16,,-1,,
1,1,1.0,Ask for help.,"[-0.01635013 -0.00082111 -0.00192592 ... -0.00621095 -0.01971094
 -0.00028261]",human,0.3490124272527805,0.7019537372895384,8,0.2529845620419273,Ask family and friends for help.
1,1,2.0,Take out a loan.,"[-3.65499951e-02 -6.42005227e-05  6.73149313e-03 ... -1.19426041e-02
 -1.91416155e-02 -6.19555845e-03]",human,0.2593391073268536,0.626460548313829,1,0.1500672572473154,Borrow money.
1,1,3.0,Sell some items.,"[-0.04528152 -0.04024307 -0.00197319 ...  0.00543814  0.00322776
 -0.00746887]",human,0.3330880966212051,0.6885475368424676,4,0.12027154513895955,Sell some things.
1,1,4.0,Not get it.,"[-0.03167213  0.00614927 -0.00244992 ... -0.00325527  0.00565251
 -0.00169538]",human,0.4220924666127236,0.7634775575998555,6,0.4360601934301811,Do nothing.
1,1,5.0,Steal money.,"[ 0.0060833  -0.03846814  0.01108943 ... -0.02354275 -0.00379916
 -0.03276457]",human,0.2689918663680302,0.6345869070015017,0,0.028884571538972725,Steal money.
2,1,1.0,Borrow money from friends and relatives.,"[-0.02207839 -0.03316969 -0.00920801 ... -0.0232694  -0.01327978
 -0.00683343]",human,0.26052484751255,0.6106983409206904,1,0.15458512341609842,Borrow money.
2,1,2.0,Ask for a loan.,"[-0.05475836  0.01108399 -0.00728178 ... -0.0073553  -0.01761024
 -0.00491306]",human,0.1932391835350764,0.5525275741703074,1,0.15902215166668032,Borrow money.
2,1,3.0,Look for alternative.,"[-0.06613795 -0.01890066 -0.01060468 ... -0.03347132 -0.0117734
  0.01887193]",human,0.37331978224620666,0.708213434792885,5,0.3110037256141889,See if there are alternative medications.
2,1,4.0,Ask for assistance.,"[-0.02042086  0.00355126 -0.00742047 ... -0.00939539 -0.0218539
 -0.00465739]",human,0.2766656294030192,0.6246526010560098,8,0.27807693520691557,Ask family and friends for help.
2,1,5.0,Buy the ones he can.,"[-0.01490778  0.00576814 -0.01344339 ...  0.0009461  -0.02894715
 -0.0165169 ]",human,0.4381132179817482,0.7642295846578848,10,0.5459889970964465,Steal the medication.
3,1,1.0,Heinz can take on extra jobs to come up with the money.,"[-0.00115531  0.02041244 -0.0159413  ...  0.00279842 -0.01723682
 -0.0159097 ]",human,0.1271059699524072,0.3350991178453663,3,0.19314784040420507,Heinz could take out a loan for the medication.
3,1,2.0,Heinz can ask the doctor and pharmacy about coupons for the medicine.,"[-0.01671902  0.03472636 -0.01635301 ... -0.00417243 -0.00188492
 -0.00257666]",human,0.2778489273982049,0.4930963775336241,3,0.22654360165430032,Heinz could take out a loan for the medication.
3,1,3.0,Heinz can sell something he owns to get the cash.,"[-0.00648646  0.00563829 -0.01506532 ...  0.00736826 -0.00683768
 -0.01396681]",human,0.13634455809084844,0.3447823006221605,3,0.21946874732859856,Heinz could take out a loan for the medication.
3,1,4.0,Heinz can start a gofundme to get the cash.,"[-0.01232077  0.00911829 -0.01956648 ...  0.00675273 -0.01120487
 -0.01315387]",human,0.14588725979373451,0.35478423201998877,3,0.23161035877751157,Heinz could take out a loan for the medication.
3,1,5.0,Heinz can ask friends or family for a loan.,"[-0.02088649  0.02556302 -0.01917226 ...  0.00057799 -0.01893167
  0.00349236]",human,0.12031866039557437,0.3279851781376288,3,0.17261781319086777,Heinz could take out a loan for the medication.
4,1,1.0,Appeal the coverage with the insurer.,"[-0.01194314  0.00118179 -0.01020946 ... -0.00612953  0.01450128
 -0.01311434]",human,0.3778099194843072,0.7313302105658595,12,0.22556823776244594,Ask insurance to reconsider.
4,1,2.0,Look for programs the pharma company has to help.,"[-0.04470746  0.01369025 -0.00901451 ... -0.0196578  -0.021427
 -0.02116022]",human,0.3047716308070062,0.6704440682193176,2,0.21918128339876553,Look into discount programs or financial assistance from the pharmaceutical company.
4,1,3.0,Ask for support from local organizations.,"[-0.01430501  0.00251575 -0.01614008 ... -0.00854801 -0.02164529
 -0.01489394]",human,0.281328448088772,0.650901373751969,9,0.27719150584113494,Seek financial assistance from charities or nonprofit organizations.
4,1,4.0,Consider alternative therapies.,"[-0.0178497  -0.02284568 -0.01864195 ... -0.0170898   0.00540827
  0.01935335]",human,0.37157658119977643,0.7261339781655781,5,0.2777592667859059,See if there are alternative medications.
